Ticker,Fund Name,Start Date,Category,Subcategory,Avg-Vol
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,2014-11-07 00:00:00,Commodity,Broad Commodity,5070000.0
PFF,iShares S&P Us Preferred Stock,2007-03-30 00:00:00,Index,,3170000.0
PGX,PowerShares Preferred Portfolio,2008-01-31 00:00:00,Index,,5420000.0
PSQ,ProShares Short Qqq,2006-06-21 00:00:00,Short,,4520000.0
PULS,Pgim Ultra Short Bond ETF,2018-04-10 00:00:00,Bond,Short Duration,2049999.0
PYLD,Pimco Multisector Bond Active ETF,2023-06-22 00:00:00,Bond,,2069999.0
PZA,Invesco National Amt-Free Municipal Bond ETF,2007-10-11 00:00:00,Bond,,1510000.0
QID,ProShares Ultrashort Qqq,2006-07-13 00:00:00,Short,,6970000.0
QLD,ProShares Ultra Qqq,2006-06-21 00:00:00,Leveraged/Inverse,,2850000.0
QQQ,PowerShares Qqq,2000-01-03 00:00:00,Index,,45000000.0
QQQI,Neos Nasdaq 100 High Income ETF,2024-01-30 00:00:00,Index,Nasdaq,2530000.0
QQQM,Invesco Nasdaq 100 ETF,2020-10-13 00:00:00,Index,Nasdaq,3060000.0
QUAL,iShares Edge MSCI Usa Quality Factor ETF,2013-07-18 00:00:00,Index,,1130000.0
QYLD,Global X Nasdaq 100 Covered Call ETF,2013-12-12 00:00:00,Option Strategy,,4370000.0
RDVY,First Trust Nasdaq Rising Dividend Achievers ETF,2014-01-07 00:00:00,Index,Nasdaq,1100000.0
REET,iShares Global Reit ETF,2014-07-10 00:00:00,REIT,,1540000.0
RSP,Rydex S&P Equal Weight ETF,2003-05-01 00:00:00,Index,,11470000.0
RWM,ProShares Short Russell2000,2007-01-25 00:00:00,Index,,9750000.0
SBIT,ProShares Trust ProShares Ultrashort Bitcoin ETF,2024-04-02 00:00:00,Crypto,,1450000.0
SCHA,Schwab U.S. Small-Cap ETF,2009-11-03 00:00:00,Equity Sector,,3750000.0
SCHB,Schw Us Brd Mkt ETF,2009-11-03 00:00:00,Index,,4940000.0
SCHE,Schwab Emerging Markets Equity ETF,2010-01-14 00:00:00,Index,Global/International,1150000.0
SCHF,Schwab International Equity,2009-11-03 00:00:00,Currency,,9340000.0
SCHG,Schwab U.S. Large-Cap Growth ETF,2009-12-11 00:00:00,Index,,8830000.0
SCHH,Schwab Us Reit ETF,2011-01-13 00:00:00,REIT,,7380000.0
SCHI,Schwab 5-10 Year Corporate Bond ETF,2019-10-10 00:00:00,Bond,Investment Grade,1050000.0
SCHK,Schwab 1000 Index ETF,2017-10-11 00:00:00,Index,,1090000.0
SCHM,Schwab Us Mid-Cap ETF,2011-01-13 00:00:00,Equity Sector,,1150000.0
SCHO,Schwab Short-Term U.S. Treasury ETF,2010-08-05 00:00:00,Bond,Treasury,2530000.0
SCHP,Schwab U.S. Tips ETF,2010-08-05 00:00:00,Bond,Inflation-Protected,3640000.0
SCHR,Schwab Intermediate-Term U.S. Treasury ETF,2010-08-05 00:00:00,Bond,Treasury,1550000.0
SCHV,Schwab U.S. Large-Cap Value ETF,2009-12-11 00:00:00,Equity Sector,,2020000.0
SCHZ,Schwab U.S. Aggregate Bond ETF,2011-07-14 00:00:00,Bond,,1390000.0
SCO,ProShares Ultrashort Dj-Aig Cru,2008-11-25 00:00:00,Thematic/Innovation,,3130000.0
SCZ,iShares MSCI Eafe Small-Cap ETF,2007-12-12 00:00:00,Index,Global/International,1020000.0
SDOW,Ultrapro Short Dow30,2010-02-11 00:00:00,Short,,2150000.0
SDS,ProShares Ultrashort S&P500,2007-05-07 00:00:00,Short,,14280000.0
SDVY,First Trust Smid Cap Rising Dividend Achievers ETF,2017-11-03 00:00:00,Equity Sector,,1240000.0
SGOL,Aberdeen Standard Physical Gold Shares ETF,2009-09-09 00:00:00,Commodity,Gold/Precious,4170000.0
SGOV,iShares 0-3 Month Treasury Bond ETF,2020-05-28 00:00:00,Bond,Treasury,11450000.0
SH,ProShares Short S&P500,2006-06-21 00:00:00,Short,,4520000.0
SHLD,Global X Defense Tech ETF,2023-09-14 00:00:00,Equity Sector,Aerospace & Defense,1060000.0
SHV,iShares Lehman Short Treasury B,2007-01-11 00:00:00,Bond,Treasury,2860000.0
SHY,iShares 1-3 Year Treasury Bond,2002-07-30 00:00:00,Bond,Treasury,3440000.0
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,2013-10-17 00:00:00,Bond,High Yield,1270000.0
SIL,Global X Silver Miners ETF,2010-04-20 00:00:00,Commodity,Silver,1580000.0
SILJ,ETFmg Prime Junior Silver ETF,2012-11-29 00:00:00,Commodity,Silver,6420000.0
SIVR,Aberdeen Standard Physical Silver Shares ETF,2009-07-24 00:00:00,Commodity,Silver,1110000.0
SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond,2012-03-15 00:00:00,Bond,High Yield,3070000.0
SLV,iShares Silver Trust,2006-04-28 00:00:00,Commodity,Silver,20750000.0
SMH,Market Vectors Semiconductor ETF,2000-06-05 00:00:00,Equity Sector,Semiconductors,7760000.0
SOXL,Direxion Daily Semiconductor Bull 3X Shares,2010-03-11 00:00:00,Leveraged/Inverse,,104990000.0
SOXS,Direxion Daily Semiconductor Bear 3X Shares,2010-03-11 00:00:00,Leveraged/Inverse,,169080000.0
SOXX,iShares Phlx Semiconductor ETF,2007-04-27 00:00:00,Equity Sector,Semiconductors,6270000.0
SPAB,SPDR Portfolio Aggregate Bond ETF,2007-05-30 00:00:00,Bond,,2480000.0
SPDW,SPDR Portfolio World Ex-Us ETF,2007-05-16 00:00:00,Country/Region,,3420000.0
SPEM,SPDR Portfolio Emerging Markets ETF,2007-05-16 00:00:00,Index,Global/International,1580000.0
SPHQ,Invesco S&P 500® Quality ETF,2007-05-08 00:00:00,Index,,1390000.0
SPHY,SPDR Portfolio High Yield Bond ETF,2012-06-19 00:00:00,Bond,High Yield,3910000.0
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,2009-02-11 00:00:00,Bond,Investment Grade,5620000.0
SPLB,SPDR Portfolio Long Term Corporate Bond ETF,2009-03-12 00:00:00,Bond,Investment Grade,3030000.0
SPLG,SPDR Portfolio S&P 500,2010-01-01 00:00:00,Index,,8950000.0
SPLV,PowerShares S&P 500 Low Volatil,2011-05-05 00:00:00,Index,,2400000.0
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF,2007-05-16 00:00:00,Equity Sector,,1220000.0
SPMO,PowerShares S&P 500 Momentum,2015-10-12 00:00:00,Index,,1690000.0
SPSB,SPDR Portfolio Short Term Corporate Bond ETF,2009-12-17 00:00:00,Bond,Investment Grade,2610000.0
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,2013-07-09 00:00:00,Equity Sector,,1710000.0
SPTI,SPDR Portfolio Intermediate Term Treasury,2007-05-30 00:00:00,Bond,Treasury,2180000.0
SPTL,SPDR Portfolio Long Term Treasury ETF,2007-05-30 00:00:00,Bond,Treasury,5700000.0
SPTS,SPDR Portfolio Short Term Treasury ETF,2011-12-01 00:00:00,Bond,Treasury,1110000.0
SPXL,Direxion Daily S&P 500 Bull 3X,2008-11-05 00:00:00,Leveraged/Inverse,,3110000.0
SPXS,Direxion Daily S&P 500 Bear 3X,2008-11-05 00:00:00,Leveraged/Inverse,,52380000.0
SPXU,ProShares Ultrapro Short S&P500,2009-06-25 00:00:00,Short,,21420000.0
SPY,SPDR S&P 500,2000-01-03 00:00:00,Index,,70160000.0
SPYD,SPDR Portfolio S&P 500 High Dividend ETF,2015-10-22 00:00:00,Index,,1190000.0
SPYG,SPDR Portfolio S&P 500 Growth ETF,2007-05-16 00:00:00,Index,,2310000.0
SPYI,Neos S&P 500 High Income ETF,2022-08-30 00:00:00,Index,,1720000.0
SPYV,SPDR Portfolio S&P 500 Value ETF,2007-05-16 00:00:00,Index,,2360000.0
SQQQ,ProShares Ultrapro Short Qqq,2010-02-11 00:00:00,Short,,94680000.0
SRLN,SPDR Blackstone/Gso Senior Loan,2013-04-04 00:00:00,Loan,,2750000.0
SRTY,Proshareultrapro Short Russell 2000,2010-02-11 00:00:00,Index,Russell,3710000.0
SSO,ProShares Ultra S&P500,2006-06-21 00:00:00,Leveraged/Inverse,,2089999.0
SVIX,-1X Short VIX Futures ETF,2022-03-30 00:00:00,Factor,,3400000.0
SVXY,ProShares Short VIX Short Term,2011-10-04 00:00:00,Factor,,1320000.0
TBIL,Us Treasury 3 Month Bill ETF,2022-08-09 00:00:00,Bond,Treasury,1870000.0
TECL,Direxion Daily Technology Bull 3X Shares,2008-12-17 00:00:00,Leveraged/Inverse,,1290000.0
TECS,Direxion Daily Technology Bear 3X Shares,2008-12-17 00:00:00,Leveraged/Inverse,,1070000.0
TFLO,iShares Treasury Floating Rate Bond ETF,2014-02-04 00:00:00,Bond,Treasury,1530000.0
TIP,iShares Barclays Tips Bond Fund,2003-12-05 00:00:00,Bond,Inflation-Protected,2610000.0
TLH,iShares 10-20 Year Treasury Bond ETF,2007-01-11 00:00:00,Bond,Treasury,1550000.0
TLT,iShares Barclays 20+ Year Treas Bond,2002-07-30 00:00:00,Bond,,36410000.0
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,2009-04-16 00:00:00,Leveraged/Inverse,,8170000.0
TNA,Direxion Daily Small Cap Bull 3X Shares,2008-11-05 00:00:00,Leveraged/Inverse,,14290000.0
TQQQ,ProShares Ultrapro Qqq,2010-02-11 00:00:00,Leveraged/Inverse,,62010000.0
TSDD,Graniteshares 1.5X Short Tsla Daily ETF,2023-08-22 00:00:00,Leveraged/Inverse,,3450000.0
TSLL,Direxion Daily Tsla Bull 1.5X Shares,2022-08-09 00:00:00,Leveraged/Inverse,,167380000.0
TSLQ,Axs Tsla Bear Daily ETF,2022-07-14 00:00:00,Leveraged/Inverse,,31140000.0
TSLR,Graniteshares 1.75X Long Tsla Daily ETF,2023-08-22 00:00:00,Thematic/Innovation,,3500000.0
TSLS,Direxion Daily Tsla Bear 1X Shares,2022-08-09 00:00:00,Leveraged/Inverse,,27250000.0
TSLT,T-Rex 2X Long Tesla Daily Target ETF,2023-10-19 00:00:00,Leveraged/Inverse,,5400000.0
TSLY,Tidal ETF Trust Ii Yieldmax Tsla Option Income Strategy ETF,2022-11-23 00:00:00,Option Strategy,,27440000.0
TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF,2023-10-19 00:00:00,Leveraged/Inverse,,91410000.0
TZA,Direxion Daily Small Cap Bear 3X Shares,2008-11-05 00:00:00,Leveraged/Inverse,,23950000.0
UCO,ProShares Ultra Dj-Aig Crude Oil,2008-11-25 00:00:00,Commodity,Oil,3310000.0
UDOW,ProShares Ultrapro Dow30,2010-02-11 00:00:00,Index,,2080000.0
UGL,ProShares Ultra Gold,2008-12-03 00:00:00,Commodity,Gold/Precious,1210000.0
ULTY,Tidal Trust Ii Yieldmax Ultra Option Income Strategy ETF,2024-02-29 00:00:00,Option Strategy,,28700000.0
UNG,United States Natural Gas Fund,2007-04-18 00:00:00,Commodity,Natural Gas,8109999.0
UPRO,ProShares Ultrapro S&P500,2009-06-25 00:00:00,Index,,4840000.0
URA,Global X Uranium ETF,2010-11-05 00:00:00,Commodity,Uranium,3600000.0
URTY,ProShares Ultrapro Russell2000,2010-02-11 00:00:00,Index,,1170000.0
USFR,WisdomTree Floating Rate Treasury Fund,2014-02-04 00:00:00,Bond,Treasury,4110000.0
USHY,iShares Broad Usd High Yield Corporate Bond,2017-10-26 00:00:00,Currency,,9830000.0
USIG,iShares Broad Usd Investment Grade Corporate Bond ETF,2014-06-12 00:00:00,Currency,,1070000.0
USMV,iShares Edge MSCI Min Vol Usa,2011-10-20 00:00:00,Index,,2230000.0
USO,United States Oil,2006-04-10 00:00:00,Commodity,Oil,8300000.0
UUP,PowerShares DB Usd Index Bullis,2007-02-20 00:00:00,Currency,,1280000.0
UVIX,2X Long VIX Futures ETF,2022-03-30 00:00:00,Leveraged/Inverse,,15810000.0
UVXY,ProShares Trust Ultra VIX Short,2011-10-04 00:00:00,Factor,,20220000.0
VCIT,Vanguard It Bond ETF,2009-11-23 00:00:00,Bond,,10210000.0
VCLT,Vanguard Long-Term Corporate Bonds,2009-11-23 00:00:00,Bond,Investment Grade,3540000.0
VCSH,Vanguard St Bond ETF,2009-11-23 00:00:00,Bond,,4970000.0
VEA,Vanguard Europe Pacific ETF,2007-07-26 00:00:00,Currency,,12000000.0
VEU,Vanguard FTSE Aw Ex-Us ETF,2007-03-08 00:00:00,Index,,2770000.0
VFLO,Victoryshares Free Cash Flow ETF,2023-06-22 00:00:00,Dividend/Income,,1050000.0
VGIT,Vanguard Intermediate-Term Treasury ETF,2009-11-23 00:00:00,Bond,Treasury,2049999.0
VGK,Vanguard European ETF,2005-03-10 00:00:00,Currency,,3300000.0
VGLT,Vanguard Long-Term Treasury ETF,2009-11-24 00:00:00,Bond,Treasury,1940000.0
VGSH,Vanguard Short-Term Treasury ETF,2009-11-23 00:00:00,Bond,Treasury,2330000.0
VIXY,ProShares Trust VIX Short-Term,2011-01-04 00:00:00,Factor,,1490000.0
VMBS,Vanguard Mortgage-Backed Securities ETF,2009-11-23 00:00:00,Bond,Mortgage/Agency,1370000.0
VNQ,Vanguard Reit ETF,2004-09-29 00:00:00,REIT,,3390000.0
VOO,Vanguard S&P 500 ETF,2010-09-09 00:00:00,Index,,6300000.0
VT,Vanguard Total World Stock ETF,2008-06-26 00:00:00,Country/Region,,2550000.0
VTEB,Vanguard Tax-Exempt Bond Index ETF,2015-08-25 00:00:00,Bond,,7320000.0
VTI,Vanguard Total Stock Market ETF,2001-06-15 00:00:00,Index,,3430000.0
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,2012-10-16 00:00:00,Bond,Inflation-Protected,1370000.0
VTV,Vanguard Value ETF,2004-01-30 00:00:00,Factor,,2600000.0
VTWO,Vanguard Russell 2000 ETF,2010-09-22 00:00:00,Index,Russell,2009999.0
VUSB,Vanguard Ultra-Short Bond ETF,2021-04-07 00:00:00,Bond,Short Duration,1040000.0
VWO,Vanguard MSCI Emerging Markets ETF,2005-03-10 00:00:00,Index,Global/International,8150000.0
VXUS,Vanguard Total International Stock Index,2011-01-28 00:00:00,Index,,4300000.0
VXX,iPath S&P 500 VIX Short-Term Futures,2009-03-02 00:00:00,Index,,5370000.0
XBI,SPDR Series Trust SPDR S&P Bio,2006-02-06 00:00:00,Equity Sector,,9800000.0
XHB,SPDR Series Trust SPDR Homebuil,2006-02-06 00:00:00,Equity Sector,,2690000.0
XLB,Materials Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Materials,6440000.0
XLC,Communication Services Select Sector SPDR Fund,2018-06-19 00:00:00,Bond,,5800000.0
XLE,Energy Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Energy,18220000.0
XLF,Financial Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Financials,36490000.0
XLG,Invesco S&P 500® Top 50 ETF,2005-05-10 00:00:00,Index,,1430000.0
XLI,Industrial Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,,11160000.0
XLK,Technology Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Information Technology,6220000.0
XLP,Consumer Staples Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Consumer Staples,15260000.0
XLRE,Real Estate Select Sector SPDR Fund,2015-10-08 00:00:00,REIT,,6390000.0
XLU,Utilities Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Utilities,11950000.0
XLV,Health Care Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Health Care,13580000.0
XLY,Consumer Discret Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,,5100000.0
XME,SPDR S&P Metals & Mining,2006-06-22 00:00:00,Equity Sector,Metals & Mining,1790000.0
XOP,SPDR S&P Oil&Gas Exploration & Prod,2006-06-22 00:00:00,Commodity,Oil,3340000.0
XRT,SPDR S&P Retail,2006-06-22 00:00:00,Thematic/Innovation,,5220000.0
YANG,Direxion Daily FTSE China Bear 3X Shares,2009-12-03 00:00:00,Leveraged/Inverse,,1860000.0
YINN,Direxion Daily FTSE China Bull 3X Shares,2009-12-03 00:00:00,Leveraged/Inverse,,2980000.0
YMAX,Tidal Trust Ii Yieldmax Universe Fund Of Option Income ETFs,2024-01-17 00:00:00,Option Strategy,,2670000.0
